Time,Open,Close,High,Low
1668934256499.5,16599.0,16599.02,16599.02,16597.18
1668934257499.5,16598.83,16599.06,16599.13,16597.95
1668934258499.5,16599.06,16598.53,16599.08,16598.53
1668934259499.5,16599.04,16599.85,16600.45,16598.72
1668934260499.5,16600.14,16599.9,16600.32,16599.63
1668934261499.5,16599.9,16603.09,16605.0,16599.65
1668934262499.5,16603.07,16604.16,16604.16,16602.91
1668934263499.5,16604.27,16603.79,16607.51,16602.76
1668934264499.5,16603.78,16604.13,16604.63,16603.78
1668934265499.5,16604.13,16605.57,16605.67,16603.71
1668934266499.5,16604.99,16603.16,16605.13,16603.03
1668934267499.5,16603.4,16602.77,16603.94,16602.33
1668934268499.5,16602.78,16600.23,16603.45,16599.77
1668934269499.5,16600.66,16601.8,16602.8,16600.52
1668934270499.5,16602.08,16601.73,16602.45,16601.54
1668934271499.5,16601.73,16599.03,16601.73,16598.07
1668934272499.5,16599.03,16598.23,16600.99,16597.14
1668934273499.5,16598.56,16597.41,16598.72,16596.93
1668934274499.5,16596.92,16598.68,16598.7,16596.0
1668934275499.5,16598.38,16597.5,16598.67,16596.19
1668934276499.5,16597.51,16596.23,16597.6,16595.51
1668934277499.5,16596.46,16597.74,16598.57,16596.17
1668934278499.5,16598.17,16597.6,16598.79,16597.16
1668934279499.5,16597.41,16598.02,16598.03,16597.33
1668934280499.5,16598.01,16600.17,16600.6,16597.09
1668934281499.5,16600.33,16599.36,16600.54,16598.77
1668934282499.5,16598.95,16597.09,16599.27,16597.0
1668934283499.5,16597.12,16600.99,16600.99,16597.11
1668934284499.5,16599.81,16600.47,16600.54,16599.6
1668934285499.5,16600.44,16600.07,16600.54,16599.37
